conf;p_ha;p_nha;r_ha;r_nha
0.5845845845845846;0.8242910308751547;0.8731999868232613;0.8444453168746526;0.5660377358490566
0.5855855855855856;0.8242595820792795;0.8737426919806508;0.8442617607360619;0.5660377358490566
0.5865865865865866;0.8242281332834045;0.8742853971380403;0.8440782045974712;0.5660377358490566
0.5875875875875876;0.8241966844875295;0.87482810229543;0.8438946484588805;0.5660377358490566
0.5885885885885885;0.8241652356916545;0.8753708074528195;0.8437110923202897;0.5660377358490566
0.5895895895895896;0.8241337868957793;0.8759135126102091;0.8435275361816991;0.5660377358490566
0.5905905905905906;0.8241023380999043;0.8764562177675986;0.8433439800431084;0.5660377358490566
0.5915915915915916;0.8240708893040293;0.8769989229249883;0.8431604239045176;0.5660377358490566
0.5925925925925926;0.8240394405081543;0.8775416280823778;0.842976867765927;0.5660377358490566
0.5935935935935935;0.8240079917122791;0.8780843332397673;0.8427933116273363;0.5660377358490566
0.5945945945945946;0.8239765429164041;0.878627038397157;0.8426097554887455;0.5660377358490566
0.5955955955955956;0.8239450941205291;0.8791697435545466;0.8424261993501548;0.5660377358490566
0.5965965965965966;0.823913645324654;0.8797124487119361;0.8422426432115642;0.5660377358490566
0.5975975975975976;0.8238821965287789;0.8802551538693256;0.8420590870729734;0.5660377358490566
0.5985985985985985;0.8238507477329039;0.8807978590267153;0.8418755309343827;0.5660377358490566
0.5995995995995996;0.8238192989370289;0.8813405641841048;0.841691974795792;0.5660377358490566
0.6006006006006006;0.8237878501411539;0.8818832693414944;0.8415084186572013;0.5660377358490566
0.6016016016016016;0.8237564013452787;0.8823345815209718;0.8413248625186106;0.5659405682383509
0.6026026026026026;0.8237249525494037;0.8821981522939039;0.8411413063800199;0.5652185229894346
0.6036036036036035;0.8236935037535287;0.882061723066836;0.8409577502414292;0.5644964777405185
0.6046046046046046;0.8236620549576537;0.8819252938397679;0.8407741941028385;0.5637744324916021
0.6056056056056056;0.8236306061617785;0.8817888646127;0.8405906379642478;0.5630523872426858
0.6066066066066066;0.8235991573659035;0.881652435385632;0.840407081825657;0.5623303419937695
0.6076076076076076;0.8235677085700285;0.8815160061585641;0.8402235256870664;0.5616082967448532
0.6086086086086087;0.8235362597741535;0.881379576931496;0.8400399695484757;0.560886251495937
0.6096096096096096;0.8256544476400695;0.8812431477044281;0.84;0.5601642062470207
0.6106106106106106;0.8283710201231687;0.8811067184773602;0.84;0.5594421609981044
0.6116116116116116;0.8310875926062679;0.8809702892502922;0.84;0.5587201157491881
0.6126126126126126;0.8316432349837484;0.8808338600232243;0.8397627490210935;0.5579980705002718
0.6136136136136137;0.8315920883741839;0.8806974307961563;0.8394588779877985;0.5572760252513554
0.6146146146146146;0.8315409417646193;0.8805610015690883;0.8391550069545035;0.5565539800024392
0.6156156156156156;0.8314897951550548;0.8804245723420203;0.8388511359212085;0.5558319347535229
0.6166166166166166;0.8314386485454903;0.8802881431149524;0.8385472648879136;0.5551098895046066
